Date,Product Name,Amount Sold,Visible Stock,Inventory,Category
05/09/2024,Sofa,6,20,10,Furniture
05/09/2024,Television,4,12,3,Electronics
05/09/2024,Bed,5,11,6,Furniture
05/09/2024,Toaster,3,15,5,Appliances
05/09/2024,Coffee Maker,5,17,3,Appliances
05/09/2024,T-Shirt,8,42,18,Clothing
05/09/2024,Laptop,4,17,4,Electronics
05/09/2024,Dining Table,3,9,1,Furniture
05/09/2024,Refrigerator,1,7,2,Appliances
05/09/2024,Chair,5,25,9,Furniture
05/09/2024,Blender,3,11,3,Appliances
05/09/2024,Jeans,6,34,12,Clothing
05/09/2024,Smartphone,4,14,3,Electronics
05/09/2024,Nightstand,2,8,2,Furniture
05/09/2024,Microwave,1,10,4,Appliances
05/09/2024,Shirt,10,50,20,Clothing
05/09/2024,Tablet,3,8,1,Electronics
05/09/2024,Desk Lamp,2,12,3,Home
05/09/2024,Vacuum Cleaner,1,9,3,Home
05/09/2024,Couch,3,17,4,Furniture
